questions,labels
Hi there,start_conversation
Is anyone there?,start_conversation
Hey,start_conversation
Hola,start_conversation
Hello,start_conversation
Good day,start_conversation
Hi,start_conversation
How can you help me?,options
What can you do?,options
Help me,options
Tell me about your college,about
What is your college known for?,about
About Ruhia Autonomous College,about
What are the deadlines for admission,admi_deadlines
 Can you give me the deadlines for admissions,admi_deadlines
Admission deadlines,admi_deadlines
When is the college resuming,reopening_dates
When is the college restarting,reopening_dates
College reopening dates,reopening_dates
Reopening dates,reopening_dates
Contact details,contact_details
Could you provide some contact details,contact_details
Contact information,contact_details
Phone number,phone
Can i get any phone number,phone
Phone,phone
Whatsapp,whatsapp
Whatsapp number,whatsapp
Can i get the email id for the college,email
college Email,email
Tell me about your junior college,junior_col
Ruhia Junior college,junior_col
Can i get details on Ruhia Junior College,junior_col
Tell me about your senior college,senior_col
Ruhia Senior college,senior_col
Can i get details on Ruhia Senior College,senior_col
Departments of Junior College,deparments_jun
Junior College Departments,deparments_jun
Departments,deparments_jun
Arts Junior College,arts_jun_dep
Tell me about junior college arts,arts_jun_dep
Science Junior College,science_jun_dep
Tell me about junior college science,science_jun_dep
Vocational Junior College,voc_jun_dep
Tell me about junior college bifocal,voc_jun_dep
Examinations in junior college,examination_jun
Examinations,examination_jun
Junior College Results,results-jun
Results,results-jun
Tell me about the programmes inn you junior collage,Programmes-Subjects_jun
Programmes and subjects in junior college,Programmes-Subjects_jun
What is the fee structure for junior college students,fee-structure_jun
Junior college fees,fee-structure_jun
Fees structure,fee-structure_jun
Junior College Admissions,admissions_jun
Admissions,admissions_jun
Give me information about Junior college admissions,admissions_jun
Academics,academics_sen
Senior collage Academics,academics_sen
Departments of Senior College,departments_sen
Senior College Departments,departments_sen
Departments,departments_sen
Arts Departments,arts_dep_sen
Departments in arts,arts_dep_sen
Senior arts deparments,arts_dep_sen
Science Departments,sci_dep_sen
Departments in Science,sci_dep_sen
Senior Science deparments,sci_dep_sen
BMM Departments,bmm_dep_sen
Departments in BMM,bmm_dep_sen
